account_id,customer_id,account_type,account_date,cutoff_date,balance
25fbb52f-,1,business,2023-02-02,2024-01-01,47861.22972512
e02334d9-,2,savings,2021-11-20,2024-01-01,31626.09571098
d2e8ef1d-,2,business,2023-04-13,2024-01-01,27140.42345865
ac79afb1-,3,business,2021-08-02,2024-01-01,9263.15918564
48bfe129-,3,business,2023-05-12,2024-01-01,8555.5190771
557c1152-,3,business,2021-12-01,2024-01-01,31599.48018425
12e1951e-,4,checking,2021-08-20,2024-01-01,42283.97020156
ef84fefa-,4,business,2020-01-03,2024-01-01,3018.52087257
5eecd75e-,4,savings,2020-10-22,2024-01-01,4979.91988978
2d53fe3a-,5,business,2022-11-30,2024-01-01,13968.13948382
d976a5b1-,5,savings,2023-10-22,2024-01-01,38580.9910449
d6d5ff5b-,5,checking,2023-11-03,2024-01-01,31287.31288992
9e4d2594-,6,checking,2020-07-11,2024-01-01,44560.847191
d3b57a48-,7,checking,2023-05-06,2024-01-01,32453.45717576
e1429be9-,7,checking,2023-11-22,2024-01-01,24664.2960906
358b8ec2-,7,business,2023-06-09,2024-01-01,20898.53381048
14c50f13-,8,savings,2023-04-16,2024-01-01,34742.06501198
acf03af9-,8,savings,2023-08-10,2024-01-01,22540.6694961
aed0a29e-,9,checking,2018-03-29,2024-01-01,10997.12766461
256a11b0-,9,business,2022-12-15,2024-01-01,8039.76586697
44d53b3d-,10,checking,2020-02-01,2024-01-01,36975.78798542
ad2e71d0-,10,checking,2020-07-19,2024-01-01,48793.33226783
9a8a0b13-,10,savings,2021-02-05,2024-01-01,38272.58474496
f1cab71a-,11,business,2021-11-04,2024-01-01,6203.01274685
c84fe155-,11,savings,2021-05-04,2024-01-01,23857.15578499
8e64b61b-,11,checking,2020-04-24,2024-01-01,23030.20458779
b4cc641d-,12,savings,2022-05-18,2024-01-01,3479.65929821
7fc95aec-,13,business,2022-07-18,2024-01-01,21488.60242341
ff146eef-,13,savings,2022-09-20,2024-01-01,40860.41447553
34915cc7-,14,business,2023-08-04,2024-01-01,16323.03112225
49877919-,14,savings,2023-05-26,2024-01-01,25415.01156094
c92187e7-,14,business,2023-04-22,2024-01-01,23873.94076913
60f1901f-,15,checking,2023-11-08,2024-01-01,2135.6386126
adb9b9f5-,15,checking,2022-09-08,2024-01-01,25766.77868816
c7c952a2-,16,savings,2023-10-23,2024-01-01,29583.8614873
aff19214-,17,savings,2022-11-28,2024-01-01,14786.4605803
fe67b0b8-,18,business,2023-02-10,2024-01-01,33953.50958451
44b937d7-,18,checking,2020-09-24,2024-01-01,27297.84671516
595eb81b-,18,savings,2023-11-21,2024-01-01,22115.46069803
b4c0e059-,19,business,2020-05-05,2024-01-01,18923.10434899
7c615c99-,19,checking,2020-01-04,2024-01-01,18930.93027336
0d38b6e1-,20,savings,2023-02-11,2024-01-01,28943.80055017
996fbeee-,20,savings,2020-11-10,2024-01-01,18763.66502127
eeb2c0a8-,21,savings,2022-11-04,2024-01-01,19931.09242401
ebaa3580-,21,checking,2022-03-23,2024-01-01,38455.80162065
216c55d2-,22,business,2022-05-15,2024-01-01,34339.53336582
829e6e7b-,22,savings,2022-09-12,2024-01-01,7304.50614377
fedaae8b-,23,checking,2023-12-30,2024-01-01,19286.71847992
42631ac6-,24,business,2022-06-01,2024-01-01,47008.47978081
e9de82d6-,24,savings,2018-09-04,2024-01-01,10753.83619607
ec032619-,25,checking,2022-05-29,2024-01-01,25503.81727496
03887728-,25,savings,2022-06-03,2024-01-01,2906.78434606
b0479c85-,25,business,2019-12-08,2024-01-01,17318.99456229
6e0e691b-,26,business,2022-12-17,2024-01-01,23392.43940486
32deb70e-,26,business,2023-07-21,2024-01-01,44763.45291182
e7721d4e-,27,checking,2019-10-29,2024-01-01,46637.06804097
546d06ac-,28,savings,2022-06-30,2024-01-01,20254.77480546
891d6753-,28,business,2022-11-30,2024-01-01,37226.64866811
51116ca4-,29,business,2020-10-18,2024-01-01,17482.29915543
1001d6c9-,29,business,2022-09-04,2024-01-01,27084.65166392
3c53362e-,30,business,2022-10-21,2024-01-01,15689.73767213
daa8a8d2-,30,savings,2020-08-04,2024-01-01,19049.53268342
59bb6017-,30,business,2019-05-16,2024-01-01,6370.62488507
86eb4428-,31,business,2023-12-31,2024-01-01,16076.21385188
ef678b66-,31,business,2023-12-30,2024-01-01,43732.8565919
680ad2d9-,32,savings,2023-08-17,2024-01-01,30248.57118171
499f7bb6-,32,checking,2022-12-22,2024-01-01,48386.46411243
d7dcec18-,32,business,2021-08-11,2024-01-01,29304.08539734
03b30c70-,33,savings,2022-01-08,2024-01-01,29592.64057533
0e7ab89c-,33,savings,2023-10-25,2024-01-01,26687.38429861
e9f0616a-,33,business,2022-11-29,2024-01-01,31367.05446955
7f8cec86-,34,savings,2018-02-16,2024-01-01,41261.40326526
e0d6442b-,34,savings,2018-10-27,2024-01-01,2546.95515376
59509d60-,35,savings,2023-09-21,2024-01-01,10348.43206352
50e229a5-,35,checking,2023-12-15,2024-01-01,16370.93168885
18abf656-,35,savings,2023-11-25,2024-01-01,21235.04537966
fe48424d-,36,checking,2023-12-28,2024-01-01,25589.15572594
f6d01b4d-,37,checking,2022-02-14,2024-01-01,43768.0677367
5814c16c-,37,business,2023-10-12,2024-01-01,36642.70284811
0bb1d11e-,37,business,2023-03-31,2024-01-01,7766.04180348
eb01eed1-,38,business,2021-07-08,2024-01-01,16927.42718688
101ec17f-,39,checking,2023-10-25,2024-01-01,26748.3804186
1f541fe9-,39,checking,2023-08-22,2024-01-01,47877.58911763
3dd8ac3f-,39,checking,2022-06-04,2024-01-01,45694.08388528
9676b69c-,40,business,2023-07-11,2024-01-01,18360.0624436
ed8ce07d-,40,business,2023-05-17,2024-01-01,34356.54858889
63608b29-,41,checking,2021-04-19,2024-01-01,30893.75242386
2e178825-,41,savings,2021-12-30,2024-01-01,47909.53241348
f61ed71f-,41,checking,2022-08-27,2024-01-01,28346.24588956
fa19614d-,42,checking,2022-03-26,2024-01-01,38787.53918529
6886ede7-,43,savings,2023-04-08,2024-01-01,34821.75566662
0bb656af-,43,checking,2020-05-31,2024-01-01,16534.9965059
709f55c1-,43,checking,2019-11-14,2024-01-01,28463.89192157
8fb0cad6-,44,checking,2021-07-22,2024-01-01,15101.6793994
6c5d6f45-,44,business,2020-04-20,2024-01-01,34154.49004334
9a093c5d-,44,checking,2020-09-16,2024-01-01,44892.26261547
89b64cb6-,45,checking,2023-10-28,2024-01-01,47775.83430618
6a0be210-,45,savings,2023-04-05,2024-01-01,15232.17994765
f6f32b35-,46,business,2022-03-12,2024-01-01,4872.44236448
3f148aae-,46,checking,2021-05-09,2024-01-01,33142.63047699
bfaebafb-,47,checking,2019-06-20,2024-01-01,11485.35359577
184d7f6c-,47,business,2023-09-17,2024-01-01,14285.5033779
fb4fc3d0-,47,business,2019-12-03,2024-01-01,35112.39373169
1d550363-,48,savings,2022-02-27,2024-01-01,31168.17468631
867b60db-,49,savings,2022-02-18,2024-01-01,12880.4438821
009d7114-,49,business,2023-07-26,2024-01-01,45354.02535663
a6e67985-,49,savings,2023-05-10,2024-01-01,32259.28409702
18380750-,50,savings,2023-11-10,2024-01-01,21251.76693636
4eebc311-,51,checking,2023-10-14,2024-01-01,5926.70033409
543ac45f-,51,savings,2023-01-06,2024-01-01,1253.89087395
6b8da550-,51,business,2023-01-02,2024-01-01,48917.62487982
cb4e826b-,52,checking,2018-12-16,2024-01-01,32991.74708736
537560cb-,53,checking,2023-02-01,2024-01-01,32876.39590184
fd405c65-,53,checking,2021-12-20,2024-01-01,16737.21740384
78dcd868-,54,savings,2023-09-13,2024-01-01,45488.91097805
29a09860-,54,savings,2020-12-15,2024-01-01,32962.63779053
a5415cb2-,54,savings,2020-03-13,2024-01-01,27222.46156779
18680bc5-,55,savings,2023-02-20,2024-01-01,45748.25655782
5a4c637f-,55,savings,2023-04-10,2024-01-01,21476.36413001
535252da-,55,savings,2020-01-07,2024-01-01,46762.20791833
966e7dc7-,56,checking,2022-03-10,2024-01-01,39610.07086392
44caefc8-,57,business,2022-04-05,2024-01-01,48144.43762408
9b096b73-,58,savings,2023-11-11,2024-01-01,1454.09125552
6aef10e2-,58,business,2023-08-30,2024-01-01,30536.36530979
f647aced-,59,checking,2022-04-23,2024-01-01,23263.10482968
9783e756-,59,business,2020-11-04,2024-01-01,27621.72369429
e3f06610-,60,savings,2022-10-31,2024-01-01,42701.92719032
d1daafab-,60,checking,2023-03-03,2024-01-01,14369.0169934
a300acb7-,61,checking,2020-04-01,2024-01-01,8962.21886445
45ca2f49-,62,business,2023-09-09,2024-01-01,13605.97913125
dbaf7fb5-,62,savings,2022-09-16,2024-01-01,1690.1255853
